id,name,address,service,price,employees,duration,rate,points,price_variation
97,Bit Company,8085 La Mesa Blvd,['Exterior Window Cleaning'],,,,,,
101,Sew Pros #1,393 Broadway,['Exterior Window Cleaning'],,,,,,
101,Sew Pros #1,393 Broadway,['Interior/Exterior Window Cleaning'],,,,,,
102,Citi Dental Rancho,2451 Jamacha Rd,['Exterior Window Cleaning'],,,,,,
102,Citi Dental Rancho,2451 Jamacha Rd,['Interior/Exterior Window Cleaning'],,,,,,
102,Citi Dental Rancho,2451 Jamacha Rd,"['Exterior Window Cleaning', 'Exterior Window Cleaning']",,,,,,
106,The Barbecue Pit,2388 Fletcher Pkwy,['Interior/Exterior Window Cleaning'],,,,,,
106,The Barbecue Pit,2388 Fletcher Pkwy,"['Interior/Exterior Window Cleaning', 'Paint Removal']",,,,,,
106,The Barbecue Pit,2388 Fletcher Pkwy,['Exterior Window Cleaning'],,,,,,
106,The Barbecue Pit,2388 Fletcher Pkwy,"['Interior/Exterior Window Cleaning', 'Window Cleaning']",,,,,,
125,Citi Dental,290 E Douglas Ave,['Interior/Exterior Window Cleaning'],,,,,,
125,Citi Dental,290 E Douglas Ave,['Exterior Window Cleaning'],,,,,,
125,Citi Dental,290 E Douglas Ave,"['Exterior Window Cleaning', 'Interior/Exterior Window Cleaning']",,,,,,
135,Quality Tax Service,9829 Campo Rd,['Interior/Exterior Window Cleaning'],,,,,,
135,Quality Tax Service,9829 Campo Rd,['Exterior Window Cleaning'],,,,,,
135,Quality Tax Service,9829 Campo Rd,"['Interior/Exterior Window Cleaning', 'Interior/Exterior Window Cleaning']",,,,,,
136,Minor Construction,301 Enterprise St,['Exterior Window Cleaning'],,,,,,
145,California Coast Credit Union - Chula Vista,386 E H St,"['Interior/Exterior Window Cleaning', 'Inside Partition Glass Cleaning']",,,,,,
145,California Coast Credit Union - Chula Vista,386 E H St,['Inside Partition Glass Cleaning'],,,,,,
156,La Costa Glen,1940 Levante Street,['Exterior Window Cleaning'],,,,,,
158,Trader Joes #221,9850 Hibert St,['Exterior Window Cleaning'],,,,,,
158,Trader Joes #221,9850 Hibert St,['Interior/Exterior Window Cleaning'],,,,,,
159,Trader Joes #220,2629 Gateway Road,['In/Out entry ways'],,,,,,
159,Trader Joes #220,2629 Gateway Road,['Interior/Exterior Window Cleaning'],,,,,,
159,Trader Joes #220,2629 Gateway Road,"['Interior/Exterior Window Cleaning', 'Interior/Exterior Window Cleaning']",,,,,,
161,Trader Joes #105,1885 Centre City Pkwy,['Interior/Exterior Window Cleaning'],,,,,,
161,Trader Joes #105,1885 Centre City Pkwy,['Exterior Window Cleaning'],,,,,,
161,Trader Joes #105,1885 Centre City Pkwy,"['Exterior Window Cleaning', 'Exterior Window Cleaning']",,,,,,
161,Trader Joes #105,1885 Centre City Pkwy,"['Exterior Window Cleaning', 'Window Cleaning Out', 'Exterior Window Cleaning']",,,,,,
161,Trader Joes #105,1885 Centre City Pkwy,"['Window Cleaning Out', 'Exterior Window Cleaning']",,,,,,
162,Del Mar Hts Medical Building - Beachside Del Mar,13983 Mango Dr,"['Exterior Window Cleaning', 'High lobby windows']",,,,,,
162,Del Mar Hts Medical Building - Beachside Del Mar,13983 Mango Dr,"['Exterior Window Cleaning', 'lobby windows', 'Exterior Window Cleaning', 'High lobby windows']",,,,,,
165,Trader Joes #25,115 N El Camino Real,['Exterior Window Cleaning'],,,,,,
165,Trader Joes #25,115 N El Camino Real,['Interior/Exterior Window Cleaning'],,,,,,
167,Invision Boutique,3830 Valley Centre Dr,['Exterior Window Cleaning'],,,,,,
167,Invision Boutique,3830 Valley Centre Dr,['Interior/Exterior Window Cleaning'],,,,,,
167,Invision Boutique,3830 Valley Centre Dr,"['Exterior Window Cleaning', 'windows wash out only']",,,,,,
169,Edward D Jones,12750 Carmel Country Rd,['Interior/Exterior Window Cleaning'],,,,,,
169,Edward D Jones,12750 Carmel Country Rd,['Exterior Window Cleaning'],,,,,,
172,Trader Joes #22,2570 Vista Way,['Interior/Exterior Window Cleaning'],,,,,,
172,Trader Joes #22,2570 Vista Way,"['Interior/Exterior Window Cleaning', 'Interior/Exterior Window Cleaning']",,,,,,
172,Trader Joes #22,2570 Vista Way,"['Interior/Exterior Window Cleaning', 'remove paint']",,,,,,
184,Mission Hills Financial,1633 W Lewis St,['Exterior Window Cleaning'],,,,,,
185,Watchlight Corporation,111 S Marshall Ave,['Exterior Window Cleaning'],,,,,,
190,Valley Center Dental,28743 Valley Center Rd # A,['Interior/Exterior Window Cleaning'],,,,,,
241,Cross Connection,1675 7 Oakes Rd,['Exterior Window Cleaning'],,,,,,
246,Mohnacky Animal Hospital,2250 S Escondido Blvd,['Interior/Exterior Window Cleaning'],,,,,,
246,Mohnacky Animal Hospital,2250 S Escondido Blvd,['Exterior Window Cleaning'],,,,,,
247,Acacia Animal Health Center,655 W Citracado Pkwy,['Interior/Exterior Window Cleaning'],,,,,,
247,Acacia Animal Health Center,655 W Citracado Pkwy,['Exterior Window Cleaning'],,,,,,
248,Jackalynn Wilson Salon,7843 Girard Ave,['Interior/Exterior Window Cleaning'],,,,,,
248,Jackalynn Wilson Salon,7843 Girard Ave,['Exterior Window Cleaning'],,,,,,
252,West Tech Contr. Inc,568 N Tulip St,['Exterior Window Cleaning'],,,,,,
263,Dr. Hagestrom,8923 La Mesa Blvd,['Exterior Window Cleaning'],,,,,,
384,Wheelihan Construction,2598 Fortune Way,['Exterior Window Cleaning'],,,,,,
385,Blue Sky Energy,2598 Fortune Way,['Exterior Window Cleaning'],,,,,,
385,Blue Sky Energy,2598 Fortune Way,"['windows washed out only', 'Exterior Window Cleaning']",,,,,,
398,California Coast Credit Union - La Mesa,8002 La Mesa Blvd,"['Interior/Exterior Window Cleaning', 'Inside Partition Glass Cleaning']",,,,,,
447,Killion Industries #1,2811 La Mirada,['Exterior Window Cleaning'],,,,,,
447,Killion Industries #1,2811 La Mirada,['Interior Only Window Cleaning'],,,,,,
448,Killion Industries #2,2480 Ash St,['Exterior Window Cleaning'],,,,,,
448,Killion Industries #2,2480 Ash St,['Interior Only Window Cleaning'],,,,,,
449,Killion Industries #3 - Corp,1370 Poinsettia Ave,['Exterior Window Cleaning'],,,,,,
451,Killion Industries #4,1380 Poinsettia Ave,['Exterior Window Cleaning'],,,,,,
452,Killion Industries #5,2490 Ash St,['Exterior Window Cleaning'],,,,,,
452,Killion Industries #5,2490 Ash St,['Interior Only Window Cleaning'],,,,,,
731,IE Pacific Inc,150 West Crest Street,"['Interior/Exterior Window Cleaning', 'Inside Partition Glass Cleaning']",,,,,,
771,Prime Electrical Services,480 Enterprise Street,['Interior/Exterior Window Cleaning'],,,,,,
771,Prime Electrical Services,480 Enterprise Street,['Exterior Window Cleaning'],,,,,,
771,Prime Electrical Services,480 Enterprise Street,"['Interior/Exterior Window Cleaning', 'Interior/Exterior Window Cleaning']",,,,,,
1518,Finkbiner Apartment Building,3645 Arizona Street,['Exterior Window Cleaning'],,,,,,
1518,Finkbiner Apartment Building,3645 Arizona Street,"['Exterior Window Cleaning', 'Interior/Exterior Window Cleaning']",,,,,,
1518,Finkbiner Apartment Building,3645 Arizona Street,"['Window Coverings', 'Window Coverings']",,,,,,
1518,Finkbiner Apartment Building,3645 Arizona Street,"['Exterior light fixtures and front door cleaning', 'Interior/Exterior Window Cleaning']",,,,,,
1660,Coin Op Laundry,3043 Clairemont Drive,['Interior/Exterior Window Cleaning'],,,,,,
2266,Southland Electric,4950 Greencraig Lane,['Interior/Exterior Window Cleaning'],,,,,,
2266,Southland Electric,4950 Greencraig Lane,"['Interior/Exterior Window Cleaning', 'Inside Partition Glass Cleaning']",,,,,,
